,var,med
0,Zm00001d024742,Zm00001d024742
1,Zm00001d025653,Zm00001d025653
2,Zm00001d024903,Zm00001d024903
3,Zm00001d023618,Zm00001d023618
4,Zm00001d024825,Zm00001d024825
5,Zm00001d023504,Zm00001d023504
6,Zm00001d024246,Zm00001d024246
7,Zm00001d026581,Zm00001d026581
8,Zm00001d026257,Zm00001d026257
9,Zm00001d025202,Zm00001d025202
10,Zm00001d025847,Zm00001d025847
11,Zm00001d026680,Zm00001d026680
12,Zm00001d024009,Zm00001d024009
13,Zm00001d025379,Zm00001d025379
14,Zm00001d023308,Zm00001d023308
15,Zm00001d024222,Zm00001d024222
16,Zm00001d024601,Zm00001d024601
17,Zm00001d024300,Zm00001d024300
18,Zm00001d025885,Zm00001d025885
19,Zm00001d024760,Zm00001d024760
20,Zm00001d024429,Zm00001d024429
21,Zm00001d026164,Zm00001d026164
22,Zm00001d025687,Zm00001d025687
23,Zm00001d024922,Zm00001d024922
24,Zm00001d025415,Zm00001d025415
25,Zm00001d024525,Zm00001d024525
26,Zm00001d024683,Zm00001d024683
27,Zm00001d023807,Zm00001d023807
28,Zm00001d025044,Zm00001d025044
29,Zm00001d026084,Zm00001d026084
30,Zm00001d026311,Zm00001d026311
31,Zm00001d025297,Zm00001d025297
32,Zm00001d026244,Zm00001d026244
33,Zm00001d025763,Zm00001d025763
34,Zm00001d024500,Zm00001d024500
35,Zm00001d025809,Zm00001d025809
36,Zm00001d026452,Zm00001d026452
37,Zm00001d024413,Zm00001d024413
38,Zm00001d026382,Zm00001d026382
39,Zm00001d023373,Zm00001d023373
40,Zm00001d024549,Zm00001d024549
41,Zm00001d024749,Zm00001d024749
42,Zm00001d024806,Zm00001d024806
43,Zm00001d023932,Zm00001d023932
44,Zm00001d024644,Zm00001d024644
45,Zm00001d026435,Zm00001d026435
46,Zm00001d024765,Zm00001d024765
47,Zm00001d025946,Zm00001d025946
48,Zm00001d023729,Zm00001d023729
49,Zm00001d026009,Zm00001d026009
50,Zm00001d024655,Zm00001d024655
51,Zm00001d026238,Zm00001d026238
52,Zm00001d026345,Zm00001d026345
53,Zm00001d023568,Zm00001d023568
54,Zm00001d025028,Zm00001d025028
55,Zm00001d026421,Zm00001d026421
56,Zm00001d025401,Zm00001d025401
57,Zm00001d025878,Zm00001d025878
58,Zm00001d024822,Zm00001d024822
59,Zm00001d023846,Zm00001d023846
60,Zm00001d024274,Zm00001d024274
61,Zm00001d023429,Zm00001d023429
62,Zm00001d026271,Zm00001d026271
63,Zm00001d023536,Zm00001d023536
64,Zm00001d025365,Zm00001d025365
65,Zm00001d025347,Zm00001d025347
66,Zm00001d023774,Zm00001d023774
67,Zm00001d026610,Zm00001d026610
68,Zm00001d024169,Zm00001d024169
69,Zm00001d025474,Zm00001d025474
70,Zm00001d024058,Zm00001d024058
71,Zm00001d023797,Zm00001d023797
72,Zm00001d024435,Zm00001d024435
73,Zm00001d023672,Zm00001d023672
74,Zm00001d024621,Zm00001d024621
75,Zm00001d023856,Zm00001d023856
76,Zm00001d024155,Zm00001d024155
77,Zm00001d026120,Zm00001d026120
78,Zm00001d024718,Zm00001d024718
79,Zm00001d024879,Zm00001d024879
80,Zm00001d026677,Zm00001d026677
81,Zm00001d023892,Zm00001d023892
82,Zm00001d023661,Zm00001d023661
83,Zm00001d024017,Zm00001d024017
84,Zm00001d024454,Zm00001d024454
85,Zm00001d024101,Zm00001d024101
86,Zm00001d023574,Zm00001d023574
87,Zm00001d025910,Zm00001d025910
88,Zm00001d024109,Zm00001d024109
89,Zm00001d024912,Zm00001d024912
90,Zm00001d025783,Zm00001d025783
91,Zm00001d024480,Zm00001d024480
92,Zm00001d024209,Zm00001d024209
93,Zm00001d023367,Zm00001d023367
94,Zm00001d025671,Zm00001d025671
95,Zm00001d025652,Zm00001d025652
96,Zm00001d025632,Zm00001d025632
97,Zm00001d024935,Zm00001d024935
98,Zm00001d026641,Zm00001d026641
99,Zm00001d024257,Zm00001d024257
100,Zm00001d026306,Zm00001d026306
101,Zm00001d025939,Zm00001d025939
102,Zm00001d024475,Zm00001d024475
103,Zm00001d026411,Zm00001d026411
104,Zm00001d024393,Zm00001d024393
105,Zm00001d026703,Zm00001d026703
106,Zm00001d026595,Zm00001d026595
107,Zm00001d025737,Zm00001d025737
108,Zm00001d025115,Zm00001d025115
109,Zm00001d026397,Zm00001d026397
110,Zm00001d026022,Zm00001d026022
111,Zm00001d024843,Zm00001d024843
112,Zm00001d026270,Zm00001d026270
113,Zm00001d024442,Zm00001d024442
114,Zm00001d023993,Zm00001d023993
115,Zm00001d026408,Zm00001d026408
116,Zm00001d025186,Zm00001d025186
117,Zm00001d026611,Zm00001d026611
118,Zm00001d024306,Zm00001d024306
119,Zm00001d026030,Zm00001d026030
120,Zm00001d025089,Zm00001d025089
121,Zm00001d023559,Zm00001d023559
122,Zm00001d023264,Zm00001d023264
123,Zm00001d023431,Zm00001d023431
124,Zm00001d026444,Zm00001d026444
125,Zm00001d024985,Zm00001d024985
126,Zm00001d023966,Zm00001d023966
127,Zm00001d026468,Zm00001d026468
128,Zm00001d025706,Zm00001d025706
129,Zm00001d024510,Zm00001d024510
130,Zm00001d026005,Zm00001d026005
131,Zm00001d024632,Zm00001d024632
132,Zm00001d023243,Zm00001d023243
133,Zm00001d023682,Zm00001d023682
134,Zm00001d024286,Zm00001d024286
135,Zm00001d026600,Zm00001d026600
136,Zm00001d026035,Zm00001d026035
137,Zm00001d024554,Zm00001d024554
138,Zm00001d024436,Zm00001d024436
139,Zm00001d025905,Zm00001d025905
140,Zm00001d023900,Zm00001d023900
141,Zm00001d023335,Zm00001d023335
142,Zm00001d023706,Zm00001d023706
143,Zm00001d023321,Zm00001d023321
144,Zm00001d023651,Zm00001d023651
145,Zm00001d026160,Zm00001d026160
146,Zm00001d024292,Zm00001d024292
147,Zm00001d025263,Zm00001d025263
148,Zm00001d026386,Zm00001d026386
149,Zm00001d026479,Zm00001d026479
150,Zm00001d025565,Zm00001d025565
151,Zm00001d025943,Zm00001d025943
152,Zm00001d025806,Zm00001d025806
153,Zm00001d023293,Zm00001d023293
154,Zm00001d023766,Zm00001d023766
155,Zm00001d024517,Zm00001d024517
156,Zm00001d026569,Zm00001d026569
157,Zm00001d026177,Zm00001d026177
158,Zm00001d024722,Zm00001d024722
159,Zm00001d024832,Zm00001d024832
160,Zm00001d024545,Zm00001d024545
161,Zm00001d026291,Zm00001d026291
162,Zm00001d024467,Zm00001d024467
163,Zm00001d025404,Zm00001d025404
164,Zm00001d024239,Zm00001d024239
165,Zm00001d023569,Zm00001d023569
166,Zm00001d025622,Zm00001d025622
167,Zm00001d025983,Zm00001d025983
168,Zm00001d025682,Zm00001d025682
169,Zm00001d026586,Zm00001d026586
170,Zm00001d024729,Zm00001d024729
171,Zm00001d025636,Zm00001d025636
172,Zm00001d026577,Zm00001d026577
173,Zm00001d025093,Zm00001d025093
174,Zm00001d023583,Zm00001d023583
175,Zm00001d025989,Zm00001d025989
176,Zm00001d026647,Zm00001d026647
177,Zm00001d026185,Zm00001d026185
178,Zm00001d025317,Zm00001d025317
179,Zm00001d025135,Zm00001d025135
180,Zm00001d023518,Zm00001d023518
181,Zm00001d024253,Zm00001d024253
182,Zm00001d026269,Zm00001d026269
183,Zm00001d026625,Zm00001d026625
184,Zm00001d025284,Zm00001d025284
185,Zm00001d023216,Zm00001d023216
186,Zm00001d026673,Zm00001d026673
187,Zm00001d023445,Zm00001d023445
188,Zm00001d023859,Zm00001d023859
