	gene	chromosome	position_left	position_right	Direction	Variance	Median
1	Zm00001d024742	10	85863323	85863746	+	0.0025099747647383515	0.0
2	Zm00001d025653	10	125107973	125113328	-	7.309109789590512	6.992965
5	Zm00001d024903	10	93908316	93911235	+	11.336479566068462	0.6789755
9	Zm00001d023618	10	12298031	12300071	-	0.0	0.0
11	Zm00001d024825	10	89733155	89739279	-	0.11286235990549398	0.6684625
35	Zm00001d024939	10	95933121	95935711	-	51.39913304838163	15.7293
61	Zm00001d023504	10	7631027	7634680	-	7.392027325548701	13.8521
74	Zm00001d024246	10	59323336	59324722	-	9.238208968971572e-06	0.0
99	Zm00001d026581	10	148370334	148374043	+	0.0003222892953898218	0.0
103	Zm00001d026257	10	142147683	142154633	-	7.5148692160884885	8.38819
105	Zm00001d025202	10	108880081	108881427	+	0.013097446179244819	0.0
110	Zm00001d025847	10	131489755	131495677	-	10.059935616549748	3.902395
118	Zm00001d026680	10	149773132	149776018	-	354.5828663282742	48.71965
126	Zm00001d024009	10	36528737	36535462	+	1195.5005496483045	72.5649
175	Zm00001d025379	10	116471861	116473196	+	38.12641231725676	8.216355
181	Zm00001d023308	10	2639162	2639637	-	0.5300589903147936	0.0
182	Zm00001d024222	10	58034392	58036920	+	73.41260983481008	33.32115
191	Zm00001d024601	10	80002017	80033465	+	7.393362034403505	6.53803
194	Zm00001d024300	10	62829799	62835007	+	12.061782020409918	9.074134999999998
233	Zm00001d025885	10	133022287	133031500	+	0.46247511109083295	1.112105
236	Zm00001d024760	10	86575065	86575988	+	0.013634579917168937	0.0
237	Zm00001d024429	10	70577738	70579793	-	1.1716581675587954	2.527665
240	Zm00001d026164	10	140160680	140165357	+	0.41693815660542605	0.0
256	Zm00001d024966	10	97204692	97208271	-	301.2144467700124	58.77745
260	Zm00001d025687	10	126206149	126211865	+	0.7948688757453266	2.46823
270	Zm00001d024922	10	95178213	95178898	-	0.002106200420067992	0.0
283	Zm00001d025415	10	117937075	117938826	-	2.2501178830017198e-05	0.0
292	Zm00001d024525	10	76302294	76309059	-	24.672467589231097	28.512700000000002
296	Zm00001d024683	10	83544384	83545263	+	0.08247965129124747	0.0
297	Zm00001d023807	10	22622238	22629995	+	3.9120584751287772	10.1645
315	Zm00001d025044	10	101378978	101442082	+	2.546113658023293	6.84403
318	Zm00001d026084	10	138077229	138079896	+	385.1457721472521	22.24345
320	Zm00001d026311	10	143365794	143369286	+	39.34935238021148	11.427050000000001
323	Zm00001d025297	10	113212122	113217501	+	0.08486643748504945	0.0
329	Zm00001d026244	10	141740262	141743415	-	13.659596597006468	8.215885
339	Zm00001d025021	10	100002392	100008244	-	1.0603026322863036	1.431905
351	Zm00001d025763	10	128651684	128657893	-	59.78103938011736	27.7703
352	Zm00001d024500	10	74401073	74401841	+	4.3986666234496505	1.693635
358	Zm00001d025809	10	130151165	130153001	-	0.009122035163970381	0.0
374	Zm00001d026452	10	146098951	146102717	+	8.212753867700695	7.211915
393	Zm00001d024413	10	69712466	69715466	-	71.81329571937206	22.534599999999998
469	Zm00001d026382	10	144818521	144822103	-	0.45306939010445174	0.783102
473	Zm00001d023373	10	4236919	4263190	-	6.560075440114356	5.274134999999999
509	Zm00001d024549	10	77777087	77777751	-	0.519081360994477	0.0
538	Zm00001d024749	10	85988782	85989775	-	0.12838133494399653	0.1264405
541	Zm00001d024806	10	88824824	88833384	+	0.33310372662006404	0.0
599	Zm00001d023932	10	29361742	29363158	+	1.7389484861858884	3.7377899999999995
601	Zm00001d024644	10	81909921	81912952	-	10.912657700107896	16.28485
611	Zm00001d026435	10	145793618	145794944	-	1.7322309233712625	1.954175
636	Zm00001d024765	10	87211476	87213531	+	202.87345529871118	35.723
652	Zm00001d025946	10	134457485	134477101	+	15.849321469643126	9.179145
665	Zm00001d023729	10	17431219	17437992	+	17.73383511101595	14.08375
673	Zm00001d026009	10	135882709	135883487	-	7.184439491864767e-05	0.0
683	Zm00001d024655	10	82212056	82212612	+	76.51421935431743	11.331150000000001
757	Zm00001d026238	10	141680041	141685861	-	4.5631424801143904e-05	0.0
763	Zm00001d026345	10	143890794	143894261	+	1.4453476815099555	2.3155200000000002
771	Zm00001d023568	10	10478273	10478636	-	1.9212430859707164	0.4702105
772	Zm00001d025028	10	100507386	100508961	+	0.002590931908053283	0.0
776	Zm00001d026421	10	145450796	145461255	+	0.14818780614247426	0.7407395
795	Zm00001d025401	10	117126776	117127673	-	52118.30279660166	30.005899999999997
849	Zm00001d025878	10	132464676	132466272	-	0.000554897756655195	0.0
867	Zm00001d024822	10	89617973	89620439	-	3.417779592462986e-07	0.0
904	Zm00001d023846	10	24407597	24410255	-	29.78129926675901	1.057005
909	Zm00001d024274	10	61030754	61038775	-	271.1824222013955	82.18154999999999
911	Zm00001d023429	10	5402576	5411941	+	17.449678889673738	21.36345
977	Zm00001d026271	10	142611392	142612061	+	1485.1331528457708	22.5586
991	Zm00001d023536	10	9162609	9167073	-	6314.923118193447	321.20950000000005
1013	Zm00001d025365	10	115746319	115747301	+	0.03399964496771223	0.0
1014	Zm00001d025208	10	109171894	109178235	-	0.6722186562617478	3.8272500000000003
1023	Zm00001d025347	10	115120062	115120584	+	4.775404788063778	1.1884000000000001
1028	Zm00001d023774	10	19671979	19672937	+	101.94066979513002	6.08922
1036	Zm00001d026610	10	148918575	148922432	+	2.549225278520429	6.42681
