,gene,chromosome,position_left,position_right,Direction,Variance
0,Zm00001d012719,8,179164454,179168169,-,8.863634398377156
1,Zm00001d024742,10,85863323,85863746,+,0.0025099747647383515
2,Zm00001d025653,10,125107973,125113328,-,7.309109789590512
3,Zm00001d036003,6,65322472,65323171,+,23.77989061023398
4,Zm00001d007933,2,243388293,243389628,+,0.0616048446822676
5,Zm00001d024903,10,93908316,93911235,+,11.336479566068462
6,Zm00001d033979,1,279975978,279978430,+,246.6625831245643
7,Zm00001d018479,5,221521585,221525322,+,268.2030792476442
8,Zm00001d021303,7,148332482,148336874,-,1.9318589429668926
9,Zm00001d023618,10,12298031,12300071,-,0.0
10,Zm00001d054081,4,246056707,246058607,-,6.739121880237943
11,Zm00001d024825,10,89733155,89739279,-,0.11286235990549398
12,Zm00001d049980,4,56787785,56805442,+,11.347444555136446
13,Zm00001d047961,9,146323415,146325394,-,0.31191012099980003
14,Zm00001d017466,5,196743194,196744184,+,7.161849932516517
15,Zm00001d017339,5,193308752,193311797,+,0.00015259181579519376
16,Zm00001d016606,5,169941759,169949748,+,60.95444036482315
17,Zm00001d047989,9,147322756,147334539,+,115.44794527798847
18,Zm00001d047972,9,146753094,146755948,+,6.1820266666276735
19,Zm00001d031073,1,175980668,175983357,-,0.2667596551367782
20,Zm00001d034961,1,306881093,306895296,+,0.0013804588510581612
21,Zm00001d051839,4,171776483,171796410,-,0.7441266247237435
22,Zm00001d039284,3,1009358,1014295,+,28.99109060381863
23,Zm00001d052766,4,200042609,200046436,-,12.75492313311446
24,Zm00001d009640,8,74045694,74049815,-,356.608843810523
25,Zm00001d013471,5,12395189,12400984,+,0.5650898502684576
26,Zm00001d052950,4,206094010,206095432,+,2277.922521266281
27,Zm00001d002343,2,10631061,10633353,+,1.5832018537198183
28,Zm00001d038333,6,154781645,154786268,-,1.8897851431367658
29,Zm00001d013504,5,12940432,12941044,-,227.2280891651467
30,Zm00001d010339,8,110343398,110344710,+,2.405853176234927
31,Zm00001d041096,3,97126225,97126799,-,0.03621106437404124
32,Zm00001d012742,8,179545783,179546197,+,0.9150826973235667
33,Zm00001d049223,4,21429670,21450419,+,61.795334102336625
34,Zm00001d006617,2,212688198,212689120,-,0.007341235936485929
35,Zm00001d024939,10,95933121,95935711,-,51.39913304838163
36,Zm00001d052312,4,186768429,186772162,-,21.947284791711436
37,Zm00001d051963,4,175449988,175460383,+,0.04884952038344328
38,Zm00001d002406,2,12054989,12056540,+,1.7723089310212181
39,Zm00001d034007,1,281040470,281042099,-,3019.086640055755
40,Zm00001d038910,6,166848167,166849957,-,24.84171470478325
41,Zm00001d040506,3,47375332,47377044,+,0.00010486392424085602
42,Zm00001d017862,5,209091059,209095479,+,0.6252080230192761
43,Zm00001d038525,6,159266841,159275183,+,25.080143993440203
44,Zm00001d013510,5,13062168,13089532,-,4.644313614219339e-05
45,Zm00001d012016,8,166534606,166536143,+,22.55838532180496
46,Zm00001d010319,8,109386249,109388789,+,2.544807775576821
47,Zm00001d032825,1,239383320,239384004,+,9221.698675179563
48,Zm00001d011822,8,162139382,162141067,+,0.0080783067721787
49,Zm00001d038997,6,168460674,168460956,+,184.76854650360696
50,Zm00001d013395,5,10330552,10331562,-,0.003937125842895716
51,Zm00001d007500,2,233345261,233355446,+,9.865699362828472
52,Zm00001d002101,2,5980085,5981005,-,0.19387105492442888
53,Zm00001d031676,1,198291705,198304950,+,16.998682347897027
54,Zm00001d031515,1,192483918,192484951,+,0.0
55,Zm00001d003192,2,35226568,35229786,-,0.0016817909392870317
56,Zm00001d008171,8,77621,80307,+,22.468048954382493
57,Zm00001d048666,4,2990398,2991001,-,0.29827595834986237
58,Zm00001d048559,9,158676250,158677196,-,12.494891953888132
59,Zm00001d014957,5,69975364,69978349,-,74127.7899752081
60,Zm00001d021400,7,151056578,151061402,-,17.97994253271784
61,Zm00001d023504,10,7631027,7634680,-,7.392027325548701
62,Zm00001d005709,2,184113996,184115968,+,1.2859902704331986e-05
63,Zm00001d012988,5,2849020,2850279,+,113.13353520327982
64,Zm00001d047808,9,142331349,142336894,-,18.836002471846328
65,Zm00001d016834,5,177813976,177815819,-,10.10111462339988
66,Zm00001d052948,4,205895318,205899917,-,31.09857284668729
67,Zm00001d046663,9,101158744,101159641,+,14.153308396149194
68,Zm00001d029230,1,63208322,63209490,+,0.02151310599607072
69,Zm00001d036567,6,92808874,92811320,-,6755.8131461141365
70,Zm00001d011789,8,161623973,161624864,-,2324.7502852553916
71,Zm00001d020449,7,115145331,115146131,+,0.0
72,Zm00001d037934,6,142590234,142594536,+,149.56106173891484
73,Zm00001d053401,4,230194893,230205389,+,6.126798346910376
74,Zm00001d024246,10,59323336,59324722,-,9.238208968971572e-06
75,Zm00001d020317,7,105966949,105967231,-,299.0016254038131
76,Zm00001d029020,1,55053506,55060129,+,20.145852587457863
77,Zm00001d009494,8,67185375,67188550,+,2.229933005091027
78,Zm00001d036215,6,77510981,77515737,+,41.220488789552896
79,Zm00001d013039,5,3603516,3604227,-,99518.89280761997
80,Zm00001d020657,7,126931348,126932454,+,0.10692443620168844
81,Zm00001d042662,3,175816696,175833246,-,0.7724363831257011
82,Zm00001d041079,3,95623143,95623951,-,41.4953299241599
83,Zm00001d047957,9,146117307,146118116,-,0.0032125955901310893
84,Zm00001d035312,6,20659537,20661422,-,521.8617861790899
85,Zm00001d019976,7,81480574,81483455,+,5.145758092194676
86,Zm00001d016332,5,157723542,157726011,-,139.82258947337806
87,Zm00001d053100,4,213729521,213756192,+,3.264714526237003
88,Zm00001d039380,3,2938832,2959820,-,0.7017534063317531
89,Zm00001d006451,2,208544400,208546453,-,0.8344768035526312
90,Zm00001d013716,5,18304701,18308806,-,5.046359489298543
91,Zm00001d041975,3,146344306,146345887,+,1.7955939386276805e-06
92,Zm00001d047503,9,132776877,132779320,+,457.9644985740561
93,Zm00001d006889,2,218597202,218602040,+,41.003291504223924
94,Zm00001d013273,5,7542246,7547038,-,1.6148262394715678
95,Zm00001d050611,4,104292731,104293847,+,0.001944623182127425
96,Zm00001d051174,4,147173977,147176860,+,27047.60468606771
97,Zm00001d043549,3,203551445,203552207,+,1.4225488353732572
98,Zm00001d002758,2,21813078,21818936,-,9.286299640668323
99,Zm00001d026581,10,148370334,148374043,+,0.0003222892953898218
100,Zm00001d035816,6,52255973,52256566,-,0.0027617253476390977
101,Zm00001d015929,5,132181260,132195639,+,1020.5535584245573
102,Zm00001d022221,7,172991977,172994466,+,2.048022994586045e-05
103,Zm00001d026257,10,142147683,142154633,-,7.5148692160884885
104,Zm00001d037110,6,112655072,112660532,+,3.5537221729254
105,Zm00001d025202,10,108880081,108881427,+,0.013097446179244819
106,Zm00001d039519,3,6563953,6567416,-,3.0086411307579803
107,Zm00001d013887,5,23853142,23883054,-,7.645416158948686
108,Zm00001d050039,4,61707239,61708265,-,2.216030991616461
109,Zm00001d003841,2,61914405,61915837,+,28.670778674148956
110,Zm00001d025847,10,131489755,131495677,-,10.059935616549748
111,Zm00001d038106,6,148079947,148099610,-,2.3659041656525686
112,Zm00001d047132,9,119496007,119498620,-,8.691324393726665e-08
113,Zm00001d002099,2,5969115,5978995,-,16.281935859032455
114,Zm00001d029827,1,89015334,89016583,-,0.08665359945383086
115,Zm00001d020484,7,118427317,118428124,-,0.0
116,Zm00001d008902,8,24528880,24532696,-,2.774798573716881
117,Zm00001d003674,2,53590568,53593753,-,0.7178056139154
118,Zm00001d026680,10,149773132,149776018,-,354.5828663282742
119,Zm00001d039500,3,6072562,6073027,+,0.0
120,Zm00001d050714,4,117910693,117919249,+,0.08941238558882585
121,Zm00001d029252,1,63839695,63841358,+,0.0
122,Zm00001d019030,7,13540225,13541566,+,0.00019952731203750008
